Corrected time (s);WE(1).Current (A);Time (s);WE(1).Potential (V);Index
0;0.0003916015625;15.980161959654;0.79986572265625;1
9.99999997475243;0.00038995361328125;25.9801619344064;0.799560546875;2
19.9999999495049;0.00037445068359375;35.9801619091588;0.79925537109375;3
29.9999999242573;0.0003648681640625;45.9801618839113;0.8001708984375;4
39.9999998990097;0.000358154296875;55.9801618586637;0.79925537109375;5
49.9999998737621;0.00036663818359375;65.9801618334161;0.79925537109375;6
59.9999998485146;0.00035662841796875;75.9801618081685;0.79986572265625;7
69.999999823267;0.000348480224609375;85.980161782921;0.799560546875;8
79.9999997980194;0.000338287353515625;95.9801617576734;0.799560546875;9
89.9999997727718;0.000332977294921875;105.980161732426;0.799560546875;10
99.9999997475243;0.0003375244140625;115.980161707178;0.79986572265625;11
109.999999722277;0.0003326416015625;125.980161681931;0.79925537109375;12
119.999999697029;0.000326629638671875;135.980161656683;0.799560546875;13
129.999999671782;0.000324798583984375;145.980161631436;0.79925537109375;14
139.999999646534;0.00031927490234375;155.980161606188;0.799560546875;15
149.999999621286;0.0003167724609375;165.98016158094;0.79925537109375;16
159.999999596039;0.000308135986328125;175.980161555693;0.79925537109375;17
169.999999570791;0.0003055419921875;185.980161530445;0.79925537109375;18
179.999999545544;0.00029827880859375;195.980161505198;0.799560546875;19
189.999999520296;0.00030194091796875;205.98016147995;0.799560546875;20
199.999999495049;0.0002933349609375;215.980161454703;0.79986572265625;21
209.999999469801;0.000294586181640625;225.980161429455;0.79925537109375;22
219.999999444553;0.0002900390625;235.980161404207;0.79925537109375;23
229.999999419306;0.00027947998046875;245.98016137896;0.799560546875;24
239.999999394058;0.000277496337890625;255.980161353712;0.79986572265625;25
249.999999368811;0.0002835693359375;265.980161328465;0.79925537109375;26
259.999999343563;0.000268768310546875;275.980161303217;0.79986572265625;27
269.999999318316;0.000268463134765625;285.98016127797;0.799560546875;28
279.999999293068;0.000259429931640625;295.980161252722;0.799560546875;29
289.99999926782;0.00026544189453125;305.980161227474;0.79925537109375;30
299.999999242573;0.00025604248046875;315.980161202227;0.7989501953125;31
309.999999217325;0.000261932373046875;325.980161176979;0.79925537109375;32
319.999999192078;0.000255096435546875;335.980161151732;0.79925537109375;33
329.99999916683;0.000254669189453125;345.980161126484;0.79925537109375;34
339.999999141583;0.000247314453125;355.980161101236;0.799560546875;35
349.999999116335;0.00024493408203125;365.980161075989;0.799560546875;36
359.999999091087;0.000246673583984375;375.980161050741;0.799560546875;37
369.99999906584;0.00023736572265625;385.980161025494;0.79986572265625;38
379.999999040592;0.0002349853515625;395.980161000246;0.799560546875;39
389.999999015345;0.00023175048828125;405.980160974999;0.79925537109375;40
399.999998990097;0.00023065185546875;415.980160949751;0.79986572265625;41
409.99999896485;0.000229339599609375;425.980160924503;0.79925537109375;42
419.999998939602;0.00022296142578125;435.980160899256;0.799560546875;43
429.999998914354;0.000223175048828125;445.980160874008;0.79986572265625;44
439.999998889107;0.000222991943359375;455.980160848761;0.799560546875;45
449.999998863859;0.000216796875;465.980160823513;0.79986572265625;46
459.999998838612;0.000217193603515625;475.980160798266;0.79986572265625;47
469.999998813364;0.00021295166015625;485.980160773018;0.79986572265625;48
479.999998788117;0.000211944580078125;495.98016074777;0.799560546875;49
489.999998762869;0.000205657958984375;505.980160722523;0.79925537109375;50
499.999998737621;0.000206329345703125;515.980160697275;0.79986572265625;51
509.999998712374;0.00020745849609375;525.980160672028;0.799560546875;52
519.999998687126;0.000206024169921875;535.98016064678;0.799560546875;53
529.999998661879;0.000197601318359375;545.980160621533;0.79986572265625;54
539.999998636631;0.00019970703125;555.980160596285;0.79925537109375;55
549.999998611383;0.00019287109375;565.980160571037;0.79925537109375;56
559.999998586136;0.000194854736328125;575.98016054579;0.7989501953125;57
569.999998560888;0.00018841552734375;585.980160520542;0.799560546875;58
579.999998535641;0.000188385009765625;595.980160495295;0.7989501953125;59
589.999998510393;0.0001844482421875;605.980160470047;0.79986572265625;60
599.999998485146;0.000186187744140625;615.9801604448;0.79925537109375;61
609.999998459898;0.000181365966796875;625.980160419552;0.79925537109375;62
619.99999843465;0.0001810302734375;635.980160394304;0.79925537109375;63
629.999998409403;0.000178985595703125;645.980160369057;0.79925537109375;64
639.999998384155;0.000179107666015625;655.980160343809;0.799560546875;65
649.999998358908;0.00017694091796875;665.980160318562;0.79986572265625;66
659.99999833366;0.00017401123046875;675.980160293314;0.79986572265625;67
669.999998308413;0.000171295166015625;685.980160268067;0.799560546875;68
679.999998283165;0.000172393798828125;695.980160242819;0.7989501953125;69
689.999998257917;0.00016705322265625;705.980160217571;0.79925537109375;70
699.99999823267;0.0001690673828125;715.980160192324;0.79925537109375;71
709.999998207422;0.00016461181640625;725.980160167076;0.799560546875;72
719.999998182175;0.000165313720703125;735.980160141829;0.79925537109375;73
729.999998156927;0.000161102294921875;745.980160116581;0.799560546875;74
739.99999813168;0.00016162109375;755.980160091334;0.79986572265625;75
749.999998106432;0.000162567138671875;765.980160066086;0.79986572265625;76
759.999998081184;0.0001519775390625;775.980160040838;0.79925537109375;77
769.999998055937;0.000156707763671875;785.980160015591;0.79925537109375;78
779.999998030689;0.000156280517578125;795.980159990343;0.79986572265625;79
789.999998005442;0.00015679931640625;805.980159965096;0.799560546875;80
799.999997980194;0.000151702880859375;815.980159939848;0.79925537109375;81
809.999997954947;0.000148101806640625;825.980159914601;0.79925537109375;82
819.999997929699;0.000148406982421875;835.980159889353;0.799560546875;83
829.999997904451;0.00014691162109375;845.980159864105;0.79925537109375;84
